35,10,25,28,83,71,97,73,41,101,0
111,83,1,97,21,68,75,47,104,70,1
83,42,39,4,85,32,97,25,21,114,1
119,18,56,8,31,23,42,43,14,38,1
75,104,84,6,47,70,31,86,96,44,1
121,109,59,104,5,90,33,1,11,19,1
22,47,42,31,70,121,65,7,39,1,1
97,53,49,5,42,67,14,30,69,35,0
78,84,106,5,95,28,14,68,67,17,1
40,100,55,44,97,71,8,43,126,21,1
50,41,16,9,56,36,18,52,5,2,1
45,90,42,10,19,41,87,84,100,39,0
10,79,87,14,35,64,18,75,37,17,0
35,83,62,2,8,68,4,103,42,6,0
56,18,129,19,84,26,21,119,54,42,0
83,108,67,129,64,45,2,44,21,56,1
19,36,30,6,90,86,59,37,25,93,1
28,95,65,103,30,8,42,29,86,71,0
58,70,88,47,120,21,29,64,1,111,0
42,39,18,48,88,94,93,71,69,37,1
94,7,79,126,88,39,23,31,41,13,0
23,9,95,25,88,41,73,103,7,111,0
39,91,28,30,10,114,75,14,23,109,0
21,69,17,64,8,129,44,106,50,7,0
5,14,60,18,13,39,2,84,8,22,0
56,18,129,104,7,25,8,49,26,35,1
106,41,64,98,21,78,18,46,128,68,0
60,26,56,18,104,21,7,31,41,30,0
14,70,84,47,36,5,1,16,104,27,1
3,70,56,99,6,84,7,9,19,8,1
1,121,106,9,69,7,20,42,94,84,1
86,5,8,94,129,106,35,84,62,96,1
41,90,101,108,49,17,104,29,121,42,1
75,100,1,104,92,28,35,25,39,93,0
45,8,4,108,26,86,78,42,39,14,1
18,64,76,22,32,43,67,29,86,14,1
53,21,29,99,44,17,114,39,41,40,1
36,67,121,23,29,59,50,54,84,108,0
37,29,74,35,19,58,56,22,18,65,0
129,5,17,84,1,7,121,19,4,61,1
93,29,68,16,10,26,43,97,41,45,0
13,104,18,53,64,16,35,75,86,56,1
83,18,104,86,46,29,22,35,19,63,1
128,98,114,70,121,74,84,120,1,73,1
25,121,29,42,12,10,35,32,52,50,1
6,9,42,19,104,29,95,68,88,22,0
21,14,99,25,93,119,104,64,36,114,1
77,104,101,68,39,40,8,66,2,45,1
108,25,42,106,26,7,12,129,17,87,1
42,10,129,3,88,39,80,26,72,93,1
62,85,10,67,84,32,64,51,81,63,1
76,71,42,25,108,97,64,83,63,93,1
93,47,61,108,21,15,14,86,57,94,0
12,29,119,31,72,56,26,84,17,42,1
86,14,64,42,46,31,105,70,38,37,0
67,71,121,103,35,4,25,62,21,70,1
53,10,45,31,64,7,27,129,36,44,0
68,76,5,126,71,26,7,19,11,8,0
42,83,4,62,86,35,93,64,129,126,1
100,1,65,101,87,98,70,5,39,84,1
23,108,80,101,10,94,54,22,99,13,0
108,1,83,103,21,25,5,42,23,87,1
96,8,31,45,121,21,84,50,7,1,0
37,75,1,11,102,88,22,94,91,12,1
108,81,31,121,114,101,47,9,104,44,1
126,96,8,64,107,33,51,25,35,26,1
121,64,93,78,94,42,88,21,4,39,0
54,57,13,62,64,53,110,67,98,119,0
8,64,84,26,43,70,58,57,21,7,0
104,103,48,4,64,68,93,11,55,96,0
99,39,25,64,67,15,47,60,32,38,0
93,35,98,30,22,86,8,25,38,84,1
5,42,48,49,16,53,39,79,104,56,1
22,93,119,129,76,68,84,98,94,42,0
48,93,87,98,104,15,53,91,94,21,0
45,119,39,108,8,2,26,74,21,93,1
111,110,92,109,108,29,84,8,35,10,0
31,53,92,12,69,21,109,87,108,20,0
76,26,8,7,56,99,84,95,10,5,0
99,40,72,17,64,83,32,100,20,18,1
106,45,9,64,51,28,21,121,8,46,1
102,30,107,6,47,99,16,5,80,87,1
67,64,107,20,47,48,35,5,108,94,0
45,8,39,62,81,7,9,31,70,99,1
22,8,11,19,86,37,85,28,56,39,1
54,110,16,5,48,90,56,41,70,58,0
72,21,105,114,30,41,121,101,25,96,0
35,10,55,64,17,48,84,44,37,34,0
22,23,99,121,8,17,112,30,44,108,0
37,84,32,10,57,8,121,28,43,56,1
56,50,98,17,44,67,54,37,83,47,0
45,29,79,109,22,41,128,74,25,104,0
84,110,41,73,78,6,28,21,42,50,1
56,21,41,110,42,18,106,119,91,43,0
26,62,42,41,101,29,46,31,3,8,0
49,5,43,75,44,37,8,26,56,106,1
39,2,84,100,8,44,50,88,110,64,0
13,129,76,84,32,102,10,37,44,42,1
29,68,46,32,37,11,42,87,34,27,1
21,84,65,37,8,42,40,7,101,79,0
29,107,19,17,84,99,64,106,41,22,0
94,33,101,102,108,4,88,105,26,38,1
65,56,37,96,12,74,26,18,99,75,1
64,23,44,3,99,57,53,48,78,14,1
7,84,129,98,42,128,126,69,8,64,0
56,53,119,28,76,104,48,17,84,22,0
62,61,64,121,42,32,84,107,129,114,0
48,29,100,47,75,84,63,106,58,69,1
42,22,18,75,32,15,41,83,104,87,0
6,2,53,43,86,13,21,102,67,22,1
2,53,6,11,16,84,63,19,64,25,1
